question_id,config,category,city,mode_requested,mode_used,language,question,expected_risk_level,expected_evidence_type,provider_requested,provider_used,gemini_available,fallback_used,cache_hit,cache_match_type,guardrail_passed,guardrail_violations,latency_seconds,evidence_packet_character_count,answer,evidence_used,missing_artifacts,retrieval_result_count,claim_boundary_violation,critical_violation,guardrail_severity,guardrail_risk_score,evidence_usage,grounding_score,missing_artifact,answer_completeness_score,limitation_awareness_score,unsafe_phrase_count_before,unsafe_phrase_count_after,unsafe_phrase_count,answer_character_count,evidence_source_count
Q001,fallback_only,city_overview,Almaty,city_brief,city_brief,en,Summarize the City1 evidence available for Almaty.,none,city_summary,fallback,fallback,False,True,False,none,True,,0.30519,10788,"Summary:
Almaty has the full frozen V3 reliability layer over the calibrated proxy population surface.

Hotspot interpretation:
- Almaty has a stronger high-confidence hotspot signal for planning-screening, while remaining bounded by proxy-surface uncertainty.

Uncertainty and confidence:
- Uncertainty describes ensemble spread and evidence reliability inside the calibrated proxy framework.

What can be claimed:
- Interpret the calibrated proxy surface at city and screening levels.
- Describe frozen V3 uncertainty, confidence bands, and hotspot classes.

What cannot be claimed:
- Do not interpret the surface as true cell-level census counts.
- Do not interpret confidence_score as a probability of correctness.

Evidence used:
- Support level: full_v3.
- Official city-total calibration anchor: 2,351,424.
- Grid cells: 3,078.
- Median relative uncertainty: 0.170.
- High/medium/low confidence shares: 22.9% / 66.2% / 10.9%.
- Priority screening cells: 842; high-value/high-confidence: 212.

Claim boundaries:
- The surface is a calibrated proxy, not true cell-level census reconstruction.
- confidence_score is interpretation support, not a probability of correctness.
- hotspot_priority_class is a screening/triage class, not verified hotspot truth.

Recommended next checks:
- Inspect local OSM completeness and source maps before operational use.",data/external/city_status_registry_v2.csv|data/external/city_population_reference_v2.csv|outputs/v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/city_uncertainty_summary.csv|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_not_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/limitation_summary.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/paper_summary.md|manuscript_package_city1_unified/sections|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/hotspot_city_summary.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/top_hotspots_by_city.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/stable_hotspots.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/caution_hotspots.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/confidence_band_validation_summary.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/interval_coverage_weak_target.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/error_uncertainty_alignment.csv|reports/district_interval_coverage_v3/city1_v3_rf500m_e20_20260618T040646Z/district_interval_city_summary.csv|reports/external_disagreement_alignment_v3/city1_v3_rf500m_e20_20260618T040646Z/external_disagreement_alignment.csv,,5,False,False,none,0,True,100.0,False,1.0,1.0,0,0,0,1358,17
Q002,fallback_only,city_overview,Astana,city_brief,city_brief,en,Give a bounded city brief for Astana.,none,city_summary,fallback,fallback,False,True,False,none,True,,0.103663,9864,"Summary:
Astana has the full frozen V3 reliability layer over the calibrated proxy population surface.

Hotspot interpretation:
- Astana contains high-value hotspot candidates, but the current confidence layer indicates that local verification is needed before strong interpretation.

Uncertainty and confidence:
- Uncertainty describes ensemble spread and evidence reliability inside the calibrated proxy framework.

What can be claimed:
- Interpret the calibrated proxy surface at city and screening levels.
- Describe frozen V3 uncertainty, confidence bands, and hotspot classes.

What cannot be claimed:
- Do not interpret the surface as true cell-level census counts.
- Do not interpret confidence_score as a probability of correctness.

Evidence used:
- Support level: full_v3.
- Official city-total calibration anchor: 1,649,242.
- Grid cells: 3,473.
- Median relative uncertainty: 0.281.
- High/medium/low confidence shares: 0.0% / 63.7% / 36.3%.
- Priority screening cells: 712; high-value/high-confidence: 0.

Claim boundaries:
- The surface is a calibrated proxy, not true cell-level census reconstruction.
- confidence_score is interpretation support, not a probability of correctness.
- hotspot_priority_class is a screening/triage class, not verified hotspot truth.

Recommended next checks:
- Inspect local OSM completeness and source maps before operational use.",data/external/city_status_registry_v2.csv|data/external/city_population_reference_v2.csv|outputs/v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/city_uncertainty_summary.csv|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_not_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/limitation_summary.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/paper_summary.md|manuscript_package_city1_unified/sections|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/hotspot_city_summary.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/top_hotspots_by_city.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/stable_hotspots.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/caution_hotspots.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/confidence_band_validation_summary.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/interval_coverage_weak_target.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/error_uncertainty_alignment.csv|reports/district_interval_coverage_v3/city1_v3_rf500m_e20_20260618T040646Z/district_interval_city_summary.csv|reports/external_disagreement_alignment_v3/city1_v3_rf500m_e20_20260618T040646Z/external_disagreement_alignment.csv,,5,False,False,none,0,True,100.0,False,1.0,1.0,0,0,0,1378,17
Q003,fallback_only,city_overview,Semey,city_brief,city_brief,en,What does City1 currently support for Semey?,none,city_summary,fallback,fallback,False,True,False,none,True,,0.117894,9856,"Summary:
Semey has the full frozen V3 reliability layer over the calibrated proxy population surface.

Hotspot interpretation:
- Semey contains high-value hotspot candidates, but the current confidence layer indicates that local verification is needed before strong interpretation.

Uncertainty and confidence:
- Uncertainty describes ensemble spread and evidence reliability inside the calibrated proxy framework.

What can be claimed:
- Interpret the calibrated proxy surface at city and screening levels.
- Describe frozen V3 uncertainty, confidence bands, and hotspot classes.

What cannot be claimed:
- Do not interpret the surface as true cell-level census counts.
- Do not interpret confidence_score as a probability of correctness.

Evidence used:
- Support level: full_v3.
- Official city-total calibration anchor: 315,382.
- Grid cells: 1,033.
- Median relative uncertainty: 0.349.
- High/medium/low confidence shares: 3.4% / 79.7% / 16.9%.
- Priority screening cells: 169; high-value/high-confidence: 4.

Claim boundaries:
- The surface is a calibrated proxy, not true cell-level census reconstruction.
- confidence_score is interpretation support, not a probability of correctness.
- hotspot_priority_class is a screening/triage class, not verified hotspot truth.

Recommended next checks:
- Inspect local OSM completeness and source maps before operational use.",data/external/city_status_registry_v2.csv|data/external/city_population_reference_v2.csv|outputs/v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/city_uncertainty_summary.csv|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_not_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/limitation_summary.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/paper_summary.md|manuscript_package_city1_unified/sections|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/hotspot_city_summary.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/top_hotspots_by_city.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/stable_hotspots.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/caution_hotspots.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/confidence_band_validation_summary.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/interval_coverage_weak_target.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/error_uncertainty_alignment.csv,,5,False,False,none,0,True,100.0,False,1.0,1.0,0,0,0,1374,15
Q004,fallback_only,city_overview,Shymkent,city_brief,city_brief,en,Describe Shymkent using the frozen City1 evidence.,none,city_summary,fallback,fallback,False,True,False,none,True,,0.106256,9889,"Summary:
Shymkent has the full frozen V3 reliability layer over the calibrated proxy population surface.

Hotspot interpretation:
- Shymkent contains high-value hotspot candidates, but the current confidence layer indicates that local verification is needed before strong interpretation.

Uncertainty and confidence:
- Uncertainty describes ensemble spread and evidence reliability inside the calibrated proxy framework.

What can be claimed:
- Interpret the calibrated proxy surface at city and screening levels.
- Describe frozen V3 uncertainty, confidence bands, and hotspot classes.

What cannot be claimed:
- Do not interpret the surface as true cell-level census counts.
- Do not interpret confidence_score as a probability of correctness.

Evidence used:
- Support level: full_v3.
- Official city-total calibration anchor: 1,298,279.
- Grid cells: 4,939.
- Median relative uncertainty: 0.175.
- High/medium/low confidence shares: 0.0% / 69.9% / 30.1%.
- Priority screening cells: 1,256; high-value/high-confidence: 0.

Claim boundaries:
- The surface is a calibrated proxy, not true cell-level census reconstruction.
- confidence_score is interpretation support, not a probability of correctness.
- hotspot_priority_class is a screening/triage class, not verified hotspot truth.

Recommended next checks:
- Inspect local OSM completeness and source maps before operational use.",data/external/city_status_registry_v2.csv|data/external/city_population_reference_v2.csv|outputs/v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/city_uncertainty_summary.csv|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_not_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/limitation_summary.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/paper_summary.md|manuscript_package_city1_unified/sections|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/hotspot_city_summary.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/top_hotspots_by_city.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/stable_hotspots.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/caution_hotspots.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/confidence_band_validation_summary.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/interval_coverage_weak_target.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/error_uncertainty_alignment.csv|reports/district_interval_coverage_v3/city1_v3_rf500m_e20_20260618T040646Z/district_interval_city_summary.csv|reports/external_disagreement_alignment_v3/city1_v3_rf500m_e20_20260618T040646Z/external_disagreement_alignment.csv,,5,False,False,none,0,True,100.0,False,1.0,1.0,0,0,0,1384,17
Q005,fallback_only,city_overview,Almaty,ask,ask,en,What is the official-total anchor and grid-cell coverage for Almaty?,none,city_summary,fallback,fallback,False,True,False,none,True,,0.11362,10799,"Summary:
Almaty has the full frozen V3 reliability layer over the calibrated proxy population surface.

Hotspot interpretation:
- Almaty has a stronger high-confidence hotspot signal for planning-screening, while remaining bounded by proxy-surface uncertainty.

Uncertainty and confidence:
- Uncertainty describes ensemble spread and evidence reliability inside the calibrated proxy framework.

What can be claimed:
- Interpret the calibrated proxy surface at city and screening levels.
- Describe frozen V3 uncertainty, confidence bands, and hotspot classes.

What cannot be claimed:
- Do not interpret the surface as true cell-level census counts.
- Do not interpret confidence_score as a probability of correctness.

Evidence used:
- Support level: full_v3.
- Official city-total calibration anchor: 2,351,424.
- Grid cells: 3,078.
- Median relative uncertainty: 0.170.
- High/medium/low confidence shares: 22.9% / 66.2% / 10.9%.
- Priority screening cells: 842; high-value/high-confidence: 212.

Claim boundaries:
- The surface is a calibrated proxy, not true cell-level census reconstruction.
- confidence_score is interpretation support, not a probability of correctness.
- hotspot_priority_class is a screening/triage class, not verified hotspot truth.

Recommended next checks:
- Inspect local OSM completeness and source maps before operational use.",data/external/city_status_registry_v2.csv|data/external/city_population_reference_v2.csv|outputs/v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/city_uncertainty_summary.csv|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_not_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/limitation_summary.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/paper_summary.md|manuscript_package_city1_unified/sections|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/hotspot_city_summary.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/top_hotspots_by_city.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/stable_hotspots.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/caution_hotspots.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/confidence_band_validation_summary.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/interval_coverage_weak_target.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/error_uncertainty_alignment.csv|reports/district_interval_coverage_v3/city1_v3_rf500m_e20_20260618T040646Z/district_interval_city_summary.csv|reports/external_disagreement_alignment_v3/city1_v3_rf500m_e20_20260618T040646Z/external_disagreement_alignment.csv,,5,False,False,none,0,True,100.0,False,1.0,1.0,0,0,0,1358,17
Q006,fallback_only,city_overview,Astana,ask,ask,en,How should a planner read the Astana surface?,low,city_summary,fallback,fallback,False,True,False,none,True,,0.110095,9865,"Summary:
Astana has the full frozen V3 reliability layer over the calibrated proxy population surface.

Hotspot interpretation:
- Astana contains high-value hotspot candidates, but the current confidence layer indicates that local verification is needed before strong interpretation.

Uncertainty and confidence:
- Uncertainty describes ensemble spread and evidence reliability inside the calibrated proxy framework.

What can be claimed:
- Interpret the calibrated proxy surface at city and screening levels.
- Describe frozen V3 uncertainty, confidence bands, and hotspot classes.

What cannot be claimed:
- Do not interpret the surface as true cell-level census counts.
- Do not interpret confidence_score as a probability of correctness.

Evidence used:
- Support level: full_v3.
- Official city-total calibration anchor: 1,649,242.
- Grid cells: 3,473.
- Median relative uncertainty: 0.281.
- High/medium/low confidence shares: 0.0% / 63.7% / 36.3%.
- Priority screening cells: 712; high-value/high-confidence: 0.

Claim boundaries:
- The surface is a calibrated proxy, not true cell-level census reconstruction.
- confidence_score is interpretation support, not a probability of correctness.
- hotspot_priority_class is a screening/triage class, not verified hotspot truth.

Recommended next checks:
- Inspect local OSM completeness and source maps before operational use.",data/external/city_status_registry_v2.csv|data/external/city_population_reference_v2.csv|outputs/v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/city_uncertainty_summary.csv|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_not_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/limitation_summary.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/paper_summary.md|manuscript_package_city1_unified/sections|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/hotspot_city_summary.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/top_hotspots_by_city.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/stable_hotspots.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/caution_hotspots.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/confidence_band_validation_summary.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/interval_coverage_weak_target.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/error_uncertainty_alignment.csv|reports/district_interval_coverage_v3/city1_v3_rf500m_e20_20260618T040646Z/district_interval_city_summary.csv|reports/external_disagreement_alignment_v3/city1_v3_rf500m_e20_20260618T040646Z/external_disagreement_alignment.csv,,5,False,False,none,0,True,100.0,False,1.0,1.0,0,0,0,1378,17
Q007,fallback_only,city_overview,Almaty,city_brief,city_brief,en,Summarize the City1 evidence available for Almaty.,none,city_summary,fallback,fallback,False,True,False,none,True,,0.111866,10788,"Summary:
Almaty has the full frozen V3 reliability layer over the calibrated proxy population surface.

Hotspot interpretation:
- Almaty has a stronger high-confidence hotspot signal for planning-screening, while remaining bounded by proxy-surface uncertainty.

Uncertainty and confidence:
- Uncertainty describes ensemble spread and evidence reliability inside the calibrated proxy framework.

What can be claimed:
- Interpret the calibrated proxy surface at city and screening levels.
- Describe frozen V3 uncertainty, confidence bands, and hotspot classes.

What cannot be claimed:
- Do not interpret the surface as true cell-level census counts.
- Do not interpret confidence_score as a probability of correctness.

Evidence used:
- Support level: full_v3.
- Official city-total calibration anchor: 2,351,424.
- Grid cells: 3,078.
- Median relative uncertainty: 0.170.
- High/medium/low confidence shares: 22.9% / 66.2% / 10.9%.
- Priority screening cells: 842; high-value/high-confidence: 212.

Claim boundaries:
- The surface is a calibrated proxy, not true cell-level census reconstruction.
- confidence_score is interpretation support, not a probability of correctness.
- hotspot_priority_class is a screening/triage class, not verified hotspot truth.

Recommended next checks:
- Inspect local OSM completeness and source maps before operational use.",data/external/city_status_registry_v2.csv|data/external/city_population_reference_v2.csv|outputs/v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/city_uncertainty_summary.csv|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_not_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/limitation_summary.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/paper_summary.md|manuscript_package_city1_unified/sections|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/hotspot_city_summary.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/top_hotspots_by_city.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/stable_hotspots.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/caution_hotspots.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/confidence_band_validation_summary.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/interval_coverage_weak_target.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/error_uncertainty_alignment.csv|reports/district_interval_coverage_v3/city1_v3_rf500m_e20_20260618T040646Z/district_interval_city_summary.csv|reports/external_disagreement_alignment_v3/city1_v3_rf500m_e20_20260618T040646Z/external_disagreement_alignment.csv,,5,False,False,none,0,True,100.0,False,1.0,1.0,0,0,0,1358,17
Q008,fallback_only,hotspot_interpretation,Almaty,hotspot_review,hotspot_review,en,Explain the Almaty hotspot priority classes.,none,hotspot,fallback,fallback,False,True,False,none,True,,0.114097,10786,"Summary:
Almaty has 842 priority screening cells in the frozen V3 output.

Stable screening candidates:
- high_value_high_confidence and medium_value_high_confidence have stronger interpretation support.

Caution-heavy classes:
- high_value_low_confidence and low_value_high_uncertainty require manual review.

Evidence used:
- high_value_high_confidence: 212.
- high_value_low_confidence: 0.
- medium_value_high_confidence: 310.
- low_value_high_uncertainty: 320.
- Stable/caution examples available: 522 / 320.

Claim boundaries:
- These are screening/triage classes, not verified hotspot truth or official cell-level census evidence.

Recommended next checks:
- Review local data and OSM support for caution-heavy cells before prioritization.",data/external/city_status_registry_v2.csv|data/external/city_population_reference_v2.csv|outputs/v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/city_uncertainty_summary.csv|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_not_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/limitation_summary.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/paper_summary.md|manuscript_package_city1_unified/sections|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/hotspot_city_summary.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/top_hotspots_by_city.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/stable_hotspots.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/caution_hotspots.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/confidence_band_validation_summary.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/interval_coverage_weak_target.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/error_uncertainty_alignment.csv|reports/district_interval_coverage_v3/city1_v3_rf500m_e20_20260618T040646Z/district_interval_city_summary.csv|reports/external_disagreement_alignment_v3/city1_v3_rf500m_e20_20260618T040646Z/external_disagreement_alignment.csv,,5,False,False,none,0,True,100.0,False,1.0,1.0,0,0,0,745,17
Q009,fallback_only,hotspot_interpretation,Astana,hotspot_review,hotspot_review,en,Which Astana hotspot classes require manual review?,none,hotspot,fallback,fallback,False,True,False,none,True,,0.101212,9882,"Summary:
Astana has 712 priority screening cells in the frozen V3 output.

Stable screening candidates:
- high_value_high_confidence and medium_value_high_confidence have stronger interpretation support.

Caution-heavy classes:
- high_value_low_confidence and low_value_high_uncertainty require manual review.

Evidence used:
- high_value_high_confidence: 0.
- high_value_low_confidence: 4.
- medium_value_high_confidence: 0.
- low_value_high_uncertainty: 708.
- Stable/caution examples available: 0 / 712.

Claim boundaries:
- These are screening/triage classes, not verified hotspot truth or official cell-level census evidence.

Recommended next checks:
- Review local data and OSM support for caution-heavy cells before prioritization.",data/external/city_status_registry_v2.csv|data/external/city_population_reference_v2.csv|outputs/v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/city_uncertainty_summary.csv|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_not_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/limitation_summary.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/paper_summary.md|manuscript_package_city1_unified/sections|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/hotspot_city_summary.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/top_hotspots_by_city.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/stable_hotspots.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/caution_hotspots.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/confidence_band_validation_summary.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/interval_coverage_weak_target.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/error_uncertainty_alignment.csv|reports/district_interval_coverage_v3/city1_v3_rf500m_e20_20260618T040646Z/district_interval_city_summary.csv|reports/external_disagreement_alignment_v3/city1_v3_rf500m_e20_20260618T040646Z/external_disagreement_alignment.csv,,5,False,False,none,0,True,100.0,False,1.0,1.0,0,0,0,739,17
Q010,fallback_only,hotspot_interpretation,Semey,hotspot_review,hotspot_review,en,Summarize stable and caution hotspot candidates in Semey.,none,hotspot,fallback,fallback,False,True,False,none,True,,0.094477,9873,"Summary:
Semey has 169 priority screening cells in the frozen V3 output.

Stable screening candidates:
- high_value_high_confidence and medium_value_high_confidence have stronger interpretation support.

Caution-heavy classes:
- high_value_low_confidence and low_value_high_uncertainty require manual review.

Evidence used:
- high_value_high_confidence: 4.
- high_value_low_confidence: 19.
- medium_value_high_confidence: 10.
- low_value_high_uncertainty: 136.
- Stable/caution examples available: 14 / 155.

Claim boundaries:
- These are screening/triage classes, not verified hotspot truth or official cell-level census evidence.

Recommended next checks:
- Review local data and OSM support for caution-heavy cells before prioritization.",data/external/city_status_registry_v2.csv|data/external/city_population_reference_v2.csv|outputs/v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/city_uncertainty_summary.csv|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/claims_not_allowed.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/limitations/limitation_summary.md|reports/paper_v3_uncertainty/city1_v3_rf500m_e20_20260618T040646Z/paper_summary.md|manuscript_package_city1_unified/sections|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/hotspot_city_summary.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/top_hotspots_by_city.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/stable_hotspots.csv|reports/hotspot_prioritization_v3/city1_v3_rf500m_e20_20260618T040646Z/caution_hotspots.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/confidence_band_validation_summary.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/interval_coverage_weak_target.csv|reports/uncertainty_validation_v3/city1_v3_rf500m_e20_20260618T040646Z/error_uncertainty_alignment.csv,,5,False,False,none,0,True,100.0,False,1.0,1.0,0,0,0,741,15
