source_document,source_section,source_content_summary,unified_location,action,notes
manuscript_package_v2,Introduction,"data-scarce proxy-surface problem framing, bounded baseline identity, contribution list","sections/01_introduction.tex",merged_with_other_section,"merged with uncertainty-motivation framing into one two-stage introduction"
manuscript_package_v2,Related Work,"gridded population mapping, dasymetric redistribution, WorldPop/GHS framing","sections/02_related_work.tex",merged_with_other_section,"retained as the backbone of subsection 2.1 and 2.2"
manuscript_package_v2,Study Design and Data,"Kazakhstan framing, 10-city registry, official totals provenance, district and qualitative anchor cities","sections/03_study_design_and_data.tex",moved_to_main,"deterministic study design kept as backbone and extended with four-city uncertainty subset"
manuscript_package_v2,Method,"grid, features, weak target, Random Forest vs ridge, official-total calibration, fixed production identity","sections/04_deterministic_proxy_surface_method.tex",moved_to_main,"equations and calibration logic preserved"
manuscript_package_v2,Validation Framework,"baseline evidence stack and claim boundaries","sections/06_unified_validation_framework.tex",merged_with_other_section,"used for subsection 6.1"
manuscript_package_v2,Results,"model choice, grid choice, district benchmark, external benchmark, ablation, qualitative plausibility, practical implications","sections/07_results_deterministic_surface_credibility.tex; sections/09_integrated_discussion.tex",merged_with_other_section,"deterministic results kept in Section 7; practical-implications wording merged into integrated discussion"
manuscript_package_v2,Limitations,"missing truth, weak supervision, OSM quality, calibrated-only scope","sections/10_limitations.tex",merged_with_other_section,"retained alongside uncertainty-stage limits"
manuscript_package_v2,Conclusion,"bounded calibrated proxy-baseline contribution","sections/12_conclusion.tex",merged_with_other_section,"merged with Stage 2 conclusion into unified framework conclusion"
manuscript_package_v2,Data and Code Availability,"GitHub repo, deterministic package paths, official-total and registry paths","sections/11_data_and_code_availability.tex",merged_with_other_section,"merged with uncertainty artifact paths"
manuscript_package_v2,Supplement S1-S7,"deterministic evidence matrix, registry, feature inventory, weak weights, calibration fallback, qualitative cases, example surfaces","supplement/sections/01_deterministic_validation_matrix.tex; supplement/sections/04_city_registry_and_feature_inventory.tex; supplement/sections/05_weak_target_calibration_and_confidence_rules.tex; supplement/sections/07_qualitative_cases_and_example_surfaces.tex",moved_to_supplement,"all unique deterministic appendix content preserved"
manuscript_package_v3,Abstract,"uncertainty-aware screening and interpretation framing","sections/00_abstract.tex",merged_with_other_section,"rewritten as one unified abstract with Stage 1 + Stage 2"
manuscript_package_v3,Introduction,"deterministic-overreading problem, contribution bullets for uncertainty stage","sections/01_introduction.tex",merged_with_other_section,"used to define RQ2 and reliability-aware framing"
manuscript_package_v3,Related Work and Background,"need for uncertainty-aware interpretation under missing truth","sections/02_related_work.tex",merged_with_other_section,"used in subsection 2.3"
manuscript_package_v3,City1 v2 Baseline Recap,"baseline-to-extension transition logic","sections/01_introduction.tex; sections/03_study_design_and_data.tex",duplicate_wording_removed,"content preserved through integrated transition framing rather than a separate recap section"
manuscript_package_v3,V3 Uncertainty Framework,"ensemble, calibrated members, P10/P50/P90, confidence score, hotspot classes, bounded validation setting","sections/05_uncertainty_aware_extension.tex",moved_to_main,"stage-specific method preserved"
manuscript_package_v3,Validation Design,"interval coverage, error-width alignment, district/external limits, hotspot stability, confidence bands","sections/06_unified_validation_framework.tex",moved_to_main,"used for subsection 6.2"
manuscript_package_v3,Results,"uncertainty city coverage, hotspots, interval behavior, stability, district/external limitation evidence","sections/08_results_reliability_uncertainty_hotspots.tex",moved_to_main,"stage-specific results preserved"
manuscript_package_v3,Discussion,"why uncertainty-aware screening matters and why Almaty is strongest","sections/09_integrated_discussion.tex",merged_with_other_section,"integrated with Stage 1 interpretation"
manuscript_package_v3,Limitations,"not true census uncertainty, partial district interval coverage, mixed external disagreement, bounded LOCO-like config","sections/10_limitations.tex",retained_as_limitation,"all core limitation rows preserved"
manuscript_package_v3,Conclusion,"reliability-aware proxy mapping contribution","sections/12_conclusion.tex",merged_with_other_section,"merged into unified final claim"
manuscript_package_v3,Data and Code Availability,"uncertainty run_id, freeze paths, model/output roots","sections/11_data_and_code_availability.tex",merged_with_other_section,"retained explicitly"
manuscript_package_v3,Supplement S1-S5,"uncertainty evidence matrix, confidence formula, hotspot classes, limitation table, file manifest, partial-validation notes","supplement/sections/02_uncertainty_validation_matrix.tex; supplement/sections/05_weak_target_calibration_and_confidence_rules.tex; supplement/sections/06_hotspot_classes_and_limitations.tex; supplement/sections/08_file_manifests_and_supporting_material.tex",moved_to_supplement,"all unique uncertainty appendix content preserved"

