source_document,source_table_or_figure,content_summary,unified_table_or_figure,destination,action,notes
manuscript_package_v2,Figure 1 pipeline schematic,deterministic pipeline logic,Figure 1 unified framework,main,merged_with_other_section,"merged with uncertainty pipeline into one framework diagram"
manuscript_package_v3,Figure 1 v3 pipeline,uncertainty evidence flow,Figure 1 unified framework,main,merged_with_other_section,"merged with deterministic pipeline into one framework diagram"
manuscript_package_v2,Figure 2 model comparison + grid benchmark,deterministic production choice,Figure 2 deterministic model and grid validation,main,retained_as_table_or_figure,"kept as same paired panels"
manuscript_package_v2,Figure 3 district benchmark + OSM completeness,internal support and input-support context,Figure 3 district and OSM completeness evidence,main,retained_as_table_or_figure,"kept as same paired panels"
manuscript_package_v2,Figure 4 external benchmark,external structural comparison,Figure 4 external benchmark comparison,main,retained_as_table_or_figure,"kept as same paired panels"
manuscript_package_v2,Figure 5 ablation,feature-family role and calibration gain,Table 6 deterministic ablation summary,main,retained_as_table_or_figure,"figure content summarized mainly through table in the unified paper"
manuscript_package_v2,Figure 6 qualitative overview,qualitative plausibility maps,Figure 5 qualitative plausibility overview,main,retained_as_table_or_figure,"retained as same paired maps"
manuscript_package_v2,Supplement Figure S1,detailed qualitative cases,Supplement Figure S1, supplement,retained_as_table_or_figure,"retained unchanged"
manuscript_package_v2,Supplement Figure S2,example surface maps,Supplement Figure S2,supplement,retained_as_table_or_figure,"retained unchanged"
manuscript_package_v2,Supplement Figure S3,city status and QA warnings,Supplement Figure S3,supplement,retained_as_table_or_figure,"retained from package README plan"
manuscript_package_v2,Table 1 study coverage,registry and validation coverage,Table 2 study coverage summary,main,retained_as_table_or_figure,"extended with four-city uncertainty subset"
manuscript_package_v2,Table 2 core validation,Random Forest vs ridge and grid choice,Table 3 core model and grid validation,main,retained_as_table_or_figure,"kept with revised numbering"
manuscript_package_v2,Table 3 district benchmark,partial district support,Table 4 district benchmark summary,main,retained_as_table_or_figure,"kept with revised numbering"
manuscript_package_v2,Table 4 external benchmark,WorldPop and GHS-POP comparison,Table 5 external benchmark summary,main,retained_as_table_or_figure,"kept with revised numbering"
manuscript_package_v2,Table 5 ablation,feature family ablation,Table 6 ablation summary,main,retained_as_table_or_figure,"kept with revised numbering"
manuscript_package_v2,Supplement Table S1,deterministic evidence matrix,Supplement Table S1,supplement,retained_as_table_or_figure,"retained unchanged in logic"
manuscript_package_v2,Supplement Table S2,city registry,Supplement Table S4,supplement,retained_as_table_or_figure,"renumbered in unified supplement"
manuscript_package_v2,Supplement Table S3,feature inventory,Supplement Table S5,supplement,retained_as_table_or_figure,"renumbered in unified supplement"
manuscript_package_v2,Supplement Table S4,weak-label weights,Supplement Table S6,supplement,retained_as_table_or_figure,"renumbered in unified supplement"
manuscript_package_v3,Figure 2 uncertainty output example,p50 vs relative uncertainty and city medians,Figure 6 uncertainty output summary,main,retained_as_table_or_figure,"kept with revised numbering"
manuscript_package_v3,Figure 3 confidence-band distribution,band shares by city,Figure 7 confidence-band distribution,main,retained_as_table_or_figure,"kept with revised numbering"
manuscript_package_v3,Figure 4 hotspot prioritization by city,priority-class counts,Figure 8 hotspot prioritization summary,main,retained_as_table_or_figure,"kept with revised numbering"
manuscript_package_v3,Figure 5 uncertainty validation summary,coverage and width-error alignment,Figure 9 interval coverage and error-width alignment,main,retained_as_table_or_figure,"kept with revised numbering"
manuscript_package_v3,Figure 6 hotspot stability summary,stable vs caution classes,Figure 10 hotspot stability summary,main,retained_as_table_or_figure,"kept with revised numbering"
manuscript_package_v3,Table 1 v3 city coverage,city-level uncertainty coverage,Table 7 uncertainty city coverage summary,main,retained_as_table_or_figure,"kept with revised numbering"
manuscript_package_v3,Table 2 interval coverage,proxy interval coverage,Table 9 interval coverage summary,main,retained_as_table_or_figure,"kept with revised numbering"
manuscript_package_v3,Table 3 error alignment,error-width alignment,Table 10 error-uncertainty alignment summary,main,retained_as_table_or_figure,"kept with revised numbering"
manuscript_package_v3,Table 4 hotspot prioritization,hotspot class summary,Table 8 hotspot prioritization summary,main,retained_as_table_or_figure,"kept with revised numbering"
manuscript_package_v3,Table 5 confidence bands,band burden separation,Table 11 confidence-band summary,main,retained_as_table_or_figure,"kept with revised numbering"
manuscript_package_v3,Table 6 district/external limits,limitation evidence,Table 13 district/external uncertainty limitations,main,retained_as_table_or_figure,"kept with revised numbering"
manuscript_package_v3,Table 7 hotspot stability,strongest uncertainty evidence,Table 12 hotspot stability summary,main,retained_as_table_or_figure,"kept with revised numbering"
manuscript_package_v3,Supplement Table S1,uncertainty evidence matrix,Supplement Table S2,supplement,retained_as_table_or_figure,"renumbered in unified supplement"
manuscript_package_v3,Supplement Table S2,hotspot class definitions,Supplement Table S7,supplement,retained_as_table_or_figure,"renumbered in unified supplement"
manuscript_package_v3,Supplement Table S3,uncertainty limitation table,Supplement Table S8,supplement,retained_as_table_or_figure,"renumbered in unified supplement"
manuscript_package_v3,Supplement Table S4,file manifest,Supplement Table S9,supplement,retained_as_table_or_figure,"renumbered in unified supplement"
new_unified_package,Contribution Map,integrated two-stage contribution logic,Table 1 contribution map,main,moved_to_main,"new artifact required by merge prompt"
new_unified_package,Combined evidence matrix,baseline plus uncertainty evidence in one table,Supplement Table S3,supplement,moved_to_supplement,"new artifact required by merge prompt"

